Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
SS18L1	O75177	CREST_HUMAN	reviewed	Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1)	SS18L1 CREST KIAA0693	Homo sapiens (Human)	396
ZNF512B	Q96KM6	Z512B_HUMAN	reviewed	Zinc finger protein 512B	ZNF512B KIAA1196	Homo sapiens (Human)	892
LRP10	O75096	LRP4_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	LRP4 KIAA0816 LRP10 MEGF7	Homo sapiens (Human)	1905
LRP10	Q7Z4F1	LRP10_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 10 (LRP-10)	LRP10 MSTP087 SP220 UNQ389/PRO724	Homo sapiens (Human)	713
UBQLN4	Q9NRR5	UBQL4_HUMAN	reviewed	Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	UBQLN4 C1orf6 CIP75 UBIN	Homo sapiens (Human)	601
ANKRD2	Q9GZV1	ANKR2_HUMAN	reviewed	Ankyrin repeat domain-containing protein 2 (Skeletal muscle ankyrin repeat protein) (hArpp)	ANKRD2 ARPP	Homo sapiens (Human)	360
TSBP1	Q5SRN2	TSBP1_HUMAN	reviewed	Testis-expressed basic protein 1 (Uncharacterized protein C6orf10)	TSBP1 C6orf10	Homo sapiens (Human)	563
STX1B	P61266	STX1B_HUMAN	reviewed	Syntaxin-1B (Syntaxin-1B1) (Syntaxin-1B2)	STX1B STX1B1 STX1B2	Homo sapiens (Human)	288
IP6K2	Q9UHH9	IP6K2_HUMAN	reviewed	Inositol hexakisphosphate kinase 2 (InsP6 kinase 2) (InsP6K2) (EC 2.7.4.-) (P(i)-uptake stimulator) (PiUS)	IP6K2 IHPK2 TCCCIA00113	Homo sapiens (Human)	426
CHI3L2	Q15782	CH3L2_HUMAN	reviewed	Chitinase-3-like protein 2 (Chondrocyte protein 39) (YKL-39)	CHI3L2	Homo sapiens (Human)	390
RNF19A	Q9NV58	RN19A_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19	Homo sapiens (Human)	838
IFT74	Q96LB3	IFT74_HUMAN	reviewed	Intraflagellar transport protein 74 homolog (Capillary morphogenesis gene 1 protein) (CMG-1) (Coiled-coil domain-containing protein 2)	IFT74 CCDC2 CMG1	Homo sapiens (Human)	600
ATP5F1D	P30049	ATPD_HUMAN	reviewed	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	ATP5F1D ATP5D	Homo sapiens (Human)	168
MOBP	Q13875	MOBP_HUMAN	reviewed	Myelin-associated oligodendrocyte basic protein	MOBP	Homo sapiens (Human)	183
KIFC3	Q9BVG8	KIFC3_HUMAN	reviewed	Kinesin-like protein KIFC3	KIFC3	Homo sapiens (Human)	833
KIF5C	O60282	KIF5C_HUMAN	reviewed	Kinesin heavy chain isoform 5C (Kinesin heavy chain neuron-specific 2)	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)	957
FGGY	Q96C11	FGGY_HUMAN	reviewed	FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47)	FGGY	Homo sapiens (Human)	551
OXR1	Q8N573	OXR1_HUMAN	reviewed	Oxidation resistance protein 1	OXR1 Nbla00307	Homo sapiens (Human)	874
NOTCH2NLC	P0DPK4	NT2NC_HUMAN	reviewed	Notch homolog 2 N-terminal-like protein C	NOTCH2NLC	Homo sapiens (Human)	236
ANKRD29	Q8N6D5	ANR29_HUMAN	reviewed	Ankyrin repeat domain-containing protein 29	ANKRD29	Homo sapiens (Human)	301
WASHC1	A8K0Z3	WASH1_HUMAN	reviewed	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	WASHC1 FAM39E WASH1	Homo sapiens (Human)	465
RBM45	Q8IUH3	RBM45_HUMAN	reviewed	RNA-binding protein 45 (Developmentally-regulated RNA-binding protein 1) (RB-1) (RNA-binding motif protein 45)	RBM45 DRB1 DRBP1	Homo sapiens (Human)	476
TTBK1	Q5TCY1	TTBK1_HUMAN	reviewed	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	TTBK1 BDTK KIAA1855	Homo sapiens (Human)	1321
HECW1	Q76N89	HECW1_HUMAN	reviewed	E3 ubiquitin-protein ligase HECW1 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECW1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)	HECW1 KIAA0322 NEDL1	Homo sapiens (Human)	1606
C6orf132	Q5T0Z8	CF132_HUMAN	reviewed	Uncharacterized protein C6orf132	C6orf132	Homo sapiens (Human)	1188
CFAP410	O43822	CF410_HUMAN	reviewed	Cilia- and flagella-associated protein 410 (C21orf-HUMF09G8.5) (Leucine-rich repeat-containing protein 76) (YF5/A2)	CFAP410 C21orf2 LRRC76	Homo sapiens (Human)	256
ERCC6L2	Q5T890	ER6L2_HUMAN	reviewed	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like)	ERCC6L2 C9orf102 RAD26L	Homo sapiens (Human)	1561
IDI1	Q13907	IDI1_HUMAN	reviewed	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	Homo sapiens (Human)	227
C3orf56	Q8N813	CC056_HUMAN	reviewed	Putative uncharacterized protein C3orf56	C3orf56	Homo sapiens (Human)	242
IQCF5	A8MTL0	IQCF5_HUMAN	reviewed	IQ domain-containing protein F5	IQCF5	Homo sapiens (Human)	148
LINC00474	Q9P2X8	CI027_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00474 (Protein EST-YD1)	LINC00474 C9orf27	Homo sapiens (Human)	69
CCDC192	P0DO97	CC192_HUMAN	reviewed	Coiled-coil domain-containing protein 192	CCDC192 LINC01183	Homo sapiens (Human)	292
VPS54	Q9P1Q0	VPS54_HUMAN	reviewed	Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p)	VPS54 HCC8	Homo sapiens (Human)	977
ZNF512	Q96ME7	ZN512_HUMAN	reviewed	Zinc finger protein 512	ZNF512 KIAA1805	Homo sapiens (Human)	567
SORCS2	Q96PQ0	SORC2_HUMAN	reviewed	VPS10 domain-containing receptor SorCS2 [Cleaved into: SorCS2 122 kDa chain; SorCS2 104 kDa chain; SorCS2 18 kDa chain]	SORCS2 KIAA1329	Homo sapiens (Human)	1159
DCTN3	O75935	DCTN3_HUMAN	reviewed	Dynactin subunit 3 (Dynactin complex subunit 22 kDa subunit) (p22)	DCTN3 DCTN22	Homo sapiens (Human)	186
BTBD10	Q9BSF8	BTBDA_HUMAN	reviewed	BTB/POZ domain-containing protein 10 (Glucose metabolism-related protein 1)	BTBD10 GMRP1	Homo sapiens (Human)	475
ARPP21	Q9UBL0	ARP21_HUMAN	reviewed	cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)	ARPP21 TARPP	Homo sapiens (Human)	812
MYBPH	Q13203	MYBPH_HUMAN	reviewed	Myosin-binding protein H (MyBP-H) (H-protein)	MYBPH	Homo sapiens (Human)	477
DNAAF1	Q8NEP3	DAAF1_HUMAN	reviewed	Dynein axonemal assembly factor 1 (Leucine-rich repeat-containing protein 50)	DNAAF1 LRRC50	Homo sapiens (Human)	725
MYH15	Q9Y2K3	MYH15_HUMAN	reviewed	Myosin-15 (Myosin heavy chain 15)	MYH15 KIAA1000	Homo sapiens (Human)	1946
IDI2	Q9BXS1	IDI2_HUMAN	reviewed	Isopentenyl-diphosphate delta-isomerase 2 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 2) (IPP isomerase 2) (IPPI2)	IDI2	Homo sapiens (Human)	227
ALS2CL	Q60I27	AL2CL_HUMAN	reviewed	ALS2 C-terminal-like protein	ALS2CL	Homo sapiens (Human)	953
EQTN	Q9NQ60	EQTN_HUMAN	reviewed	Equatorin (Acrosome formation-associated factor)	EQTN AFAF C9orf11	Homo sapiens (Human)	294
